d-block href	col-4	col 4	col 5
https://dmns.app/tlds/contact	contact	Dog Beach, LLC	10/12/2015
https://dmns.app/tlds/contractors	contractors	Binky Moon, LLC	08/11/2013
https://dmns.app/tlds/cooking	cooking	Registry Services, LLC	28/02/2014
https://dmns.app/tlds/cool	cool	Binky Moon, LLC	16/01/2014
https://dmns.app/tlds/coop	coop	DotCooperation LLC	15/12/2001
https://dmns.app/tlds/corsica	corsica	Collectivité de Corse	23/04/2015
https://dmns.app/tlds/country	country	Internet Naming Co.	28/02/2014
https://dmns.app/tlds/coupon	coupon	Amazon Registry Services, Inc.	29/01/2016
https://dmns.app/tlds/coupons	coupons	Binky Moon, LLC	08/05/2015
https://dmns.app/tlds/courses	courses	Registry Services, LLC	19/02/2015
https://dmns.app/tlds/cpa	cpa	American Institute of Certified Public Accountants	11/09/2019
https://dmns.app/tlds/cr	cr	National Academy of Sciences (Academia Nacional de Ciencias)	10/09/1990
https://dmns.app/tlds/credit	credit	Binky Moon, LLC	24/04/2014
https://dmns.app/tlds/creditcard	creditcard	Binky Moon, LLC	24/04/2014
https://dmns.app/tlds/creditunion	creditunion	DotCooperation, LLC	15/10/2015
https://dmns.app/tlds/cricket	cricket	dot Cricket Limited	13/11/2014
https://dmns.app/tlds/crown	crown	Crown Equipment Corporation	04/06/2015
https://dmns.app/tlds/crs	crs	Federated Co-operatives Limited	28/08/2014
https://dmns.app/tlds/cruise	cruise	Viking River Cruises (Bermuda) Ltd.	21/10/2016
https://dmns.app/tlds/cruises	cruises	Binky Moon, LLC	30/01/2014
https://dmns.app/tlds/cu	cu	CENIAInternet	03/06/1992
https://dmns.app/tlds/cuisinella	cuisinella	SCHMIDT GROUPE S.A.S.	19/06/2014
https://dmns.app/tlds/cv	cv	Agência Reguladora Multissectorial da Economia (ARME)	21/10/1996
https://dmns.app/tlds/cw	cw	University of Curacao	20/12/2010
https://dmns.app/tlds/cx	cx	Christmas Island Domain Administration Limited	24/04/1997
https://dmns.app/tlds/cy	cy	University of Cyprus	26/07/1994
https://dmns.app/tlds/cymru	cymru	Nominet UK	31/07/2014
https://dmns.app/tlds/cyou	cyou	Shortdot SA	19/03/2015
https://dmns.app/tlds/cz	cz	CZ.NIC, z.s.p.o	13/01/1993
https://dmns.app/tlds/dad	dad	Charleston Road Registry Inc.	12/06/2014
https://dmns.app/tlds/dance	dance	Dog Beach, LLC	09/01/2014
https://dmns.app/tlds/data	data	Dish DBS Corporation	15/12/2016
https://dmns.app/tlds/date	date	dot Date Limited	05/02/2015
https://dmns.app/tlds/dating	dating	Binky Moon, LLC	23/01/2014
https://dmns.app/tlds/datsun	datsun	NISSAN MOTOR CO., LTD.	10/07/2014
https://dmns.app/tlds/day	day	Charleston Road Registry Inc.	12/06/2014
https://dmns.app/tlds/dclk	dclk	Charleston Road Registry Inc.	08/01/2015
https://dmns.app/tlds/dds	dds	Registry Services, LLC	08/01/2016
https://dmns.app/tlds/deal	deal	Amazon Registry Services, Inc.	19/05/2016
https://dmns.app/tlds/dealer	dealer	Intercap Registry Inc.	25/11/2015
https://dmns.app/tlds/deals	deals	Binky Moon, LLC	03/07/2014
https://dmns.app/tlds/wed	wed	Emergency Back-End Registry Operator Program - ICANN	12/12/2013
https://dmns.app/tlds/wedding	wedding	Registry Services, LLC	10/07/2014
https://dmns.app/tlds/weibo	weibo	Sina Corporation	29/02/2016
https://dmns.app/tlds/weir	weir	Weir Group IP Limited	02/04/2015
https://dmns.app/tlds/wf	wf	Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)	14/11/1997
https://dmns.app/tlds/whoswho	whoswho	Who's Who Registry	12/06/2014
https://dmns.app/tlds/wien	wien	punkt.wien GmbH	19/12/2013
https://dmns.app/tlds/wiki	wiki	Registry Services, LLC	06/02/2014
https://dmns.app/tlds/williamhill	williamhill	William Hill Organization Limited	03/07/2014
https://dmns.app/tlds/win	win	First Registry Limited	05/02/2015
